7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
In the 2009 movie “The Hangover” the missing groom is eventually found at what Las Vegas locale?,ROOF OF CAESARS PALACE
In the 2009 movie “The Hangover” what eccentric celeb cameos as the owner of a stolen tiger?,MIKE TYSON
In the 2010 film “Black Swan” Natalie Portman plays a dancer who performs in a famous ballet composed by whom?,TCHAIKOVSKY
In the 2010 film “Eat pray love” Julia Roberts eats in Italy prays in India and loves where?,INDONESIA
In the 2010 movie “Shutter Island” Shutter Island is primarily home to what?,MENTAL INSTITUTION
In the 2010 sequel “Tron:Legacy” Jeff Bridges reprises his 1982 role in “Tron” as a man transformed into what?,A COMPUTER PROGRAM
Which of these actors is a devout Buddhist who studied with the Dalai Lama?,RICHARD GERE
Which of these actors is also a successful venture capitalistwho made a killing on an early investment in Skype?,ASHTON KUTCHER
Which of these actors’ last names is often used as a slang term meaning “to go”?,HUMPHREY BOGART
Which of these actors’ last names is often used as a slang term meaning “to hog”?,HUMPHREY BOGART
Which of these actresses bears a heart-shaped tattoo inscribed with her husband’s name “Antonio”?,MELANIE GRIFFITH
Which of these actresses did not divorce her husband shortly after receiving her Academy Award?,CATHERINE ZETA-JONES
Which of these actresses is the author of a 2010 self-help bookaptly titled “Getting the Pretty Back”?,MOLLY RINGWALD
Which of these actresses shares her name with a common shade of brown?,SIENNA MILLER
Which of these actresses shares her name with a popular line of Pepperidge Farm cookies?,ALYSSA MILANO
Which of these adjectives has never doubled as the name of a Pope?,BENIGN
Which of these adjectives is not included in the lyrics of the 1958 novelty song “Purple People Eater”?,SIX-LEGGED
Which of these American Revolutionary War figures is buried not in the United Statesbut in LondonEngland?,BENEDICT ARNOLD
Which of these American Revolutionary War figures is often considered the “Father Of The American Navy”?,JOHN PAUL JONES
Which of these ancient Greeks is famous for writing “Elements” an influential treatise on geometry?,EUCLID
Which of these ancient locations becomes the name of a present-day country when the first two letters of its name are removed?,ASSYRIA
Which of these animal classifications best describes the traditional symbol of the Republican Party?,PACHYDERM
Which of these animal names is also a unit of measurement commonly used by chemists?,MOLE
Which of these animal noise words is also the name of a popular online urban city guide?,YELP
Which of these Animal Planet TV Shows “stars” animals that typically grow the largest?,GROWING UP CAMEL
Which of these animal terms comes from a Latin word meaning “to gnaw”?,RODENT
Which of these animals can produce upwards of 500 offspring in a single year?,COCKROACH
Which of these animals commonly moves around using a technique known as “knuckle-walking”?,CHIMPANZEES
Which of these animals has the longest gestation period lasting an average over 20 months?,ELEPHAND
Which of these animals have webbed hind feet that help them to swim?,BEAVERS
Which of these animals hunts its prey using echolation a system of biological sonar?,BATS
Which of these animals is a marsupial?,WOMBAT
Which of these animals is classified as an actual variety of fish?,CATFISH
Which of these animals is known for “breaching”?,WHALE
Which of these animals is not considered an insect?,SPIDER
Which of these animals is usually trapped for its fur in the winter when its coat is almost completely white?,ERMINE
Which of these animals is well known for spitting at people and other creatures when it gets agitated?,CAMEL
Which of these animals transports food in its cheeks?,HAMSTER
Which of these animated characters flexes his “muskels” in the 1960 cartoon “Muskels Shmuskels”?,POPEYE THE SAILOR
Which of these apple varieties shares its name with a well-known mountain in Japan?,FUJI
Which of these architectural elements is a type of built-in seat located adjacent to a fireplace?,INGLENOOK
Which of these are the initials of a high-end fashion label and not a code for a US city airport?,YSL
Which of these articles of clothing fittingly gets its name from the Spanish word for “shade”?,SOMBRERO
Which of these articles of clothing shares its name with an 18th-century Spanish folk dance?,BOLERO
Which of these artists is notorious for singing through Auto-Tune pitch CORRECTion software?,T-PAIN
Which of these artsy surnames is also the name of a division in the World Beard and Moustache Championships?,DALI
Which of these Asian “Stans” is an ethnic religion and not an independent country?,KURDISTAN
Which of these athletic pursuits is not one of the three events in a traditional triathalon?,KAYAKING
Which of these authors’ last names sounds the same as a capital city in Texas?,JANE AUSTEN
Which of these authors’ monograms is the same as the name of a well-known delivery company?,D.H. LAWRENCE
Which of these band names does not feature the name of a chemical element?,STEELY DAN
Which of these bands gets its name from its bassist’s days making change as a cashier at Starbucks?,NICKELBACK
Which of these Beatles classics featured several lyrics sung in French?,MICHELLE
Which of these beloved comedy pairings consists of two animated characters and not two real-life people?,WALLACE AND GROMIT
Which of these beloved Disney characters would be classified by zoologists as a “ruminant”?,BAMBI
Which of these beloved Sesame Street muppets doesn’t have a nose?,COOKIE MONSTER
Which of these Ben and Jerry’s flavors was named after a key figure in the 1969 Woodstock festival?,WAVY GRAVY
Which of these berries is believed to be a hybrid of the blackberry and raspberry?,LOGANBERRY
Which of these berries is believed to be a hybrid of the blackberry and the raspberry?,LOGANBERRY
Which of these Best Picture winners is about a fictional character and not a historical figure?,OLIVER!
Which of these beverages is usually homogenized before being sold to consumers?,MILK
Which of these big names in aviation is also the first name of one of Sarah Palin’s children?,PIPER
Which of these Bill Murray movies takes place primarily at Christmas time?,SCROOGED
Which of these bird names is also a verb meaning “to complain”?,GROUSE
Which of these birds is able to fly?,PEACOCK
Which of these birds is able to fly?,FLAMINGO
Which of these bodies of water was named for the oysters once harvested there?,PEARL HARBOR
In art the Greek Titan Atlas is traditionally depicted holding what on his shoulders?,GLOBE
In astrology what planetary symbol of communication can cause discord when it is in “retrograde?”,MERCURY
In Avatar the humans infiltrate Pandora in order to raid its supply of what highly valuable mineral?,UNOBTAMIUM
In baseball lingowhich of the following is known as a “tater”?,HOME RUN
In baseball a “balk” is a deceptive and illegal motion made by what player?,PITCHER
In baseballhome plate is traditionally shaped like a what?,PENTAGON
In baseballwho is the only fielder positioned in foul territory?,CATCHER
In basketball a referee often forms the letter “T” with his hands to indicate a what?,TECHNICAL FOUL
In birds the gizzard is an organ that plays an important role in what process?,DIGESTION
In bowling how many consecutive strikes comprise a perfectly bowled “300” game?,12
In business what phrase is used to describe traditional companies that do not exist purely on the Internet?,BRICK AND MORTAR
In cartoonsTweety Bird is often portrayed as the pet of a woman simply referred to by what name?,GRANNY
In CB radio lingothe question “What’s your twenty?” is actually asking what?,WHAT IS YOUR LOCATION?
In celebration of its 15th anniversary”South Park” sold a real-life version of what snack?,CHEESY POOFS
In Chicagoyou’ll find a kitschy 26-foot tall statue of what actress in a famous posewhite dress billowing up around her?,MARILYN MONROE
In Chinawhat does a person do with renminbi?,SPEND IT
In Christianity Ascension Day is celebrated 40 days after what holiday?,EASTER
In Christianity the ashes used on Ash Wednesday are traditionally made by burning what?,PALM FRONDS
In Christianitywho is said to be the guardian of the Pearly Gatesthe entranceway to Heaven?,SAINT PETER
In college sportswhich of these terms refers to an athlete who was never recruited or offered a scholarship?,WALK-ON
In Colombiathe aptly named “Biblioburros” is a program that uses donkeys to distribute what?,BOOKS
In comedy an event where the guest of honor is subjected to humorous criticisms is called a what?,ROAST
In comic strips what letters are depicted on bottles to show alcohol?,XXX
In common flavor of potato chips “sour cream” is usually paired with what?,ONION
